season,venue,type,avg_first_innings_score,avg_second_innings_score,bounce_rating,turn_rating,pace_friendly,batting_friendly,dew_factor,matches_played,chasing_success_rate
2008,Mumbai,batting,155.6,152.0,7.6,3.6,6.9,7.8,8.2,8,55.8
2008,Chennai,spin,158.0,150.3,5.8,7.9,5.7,7.9,5.0,5,53.3
2008,Bangalore,batting,169.4,162.3,7.9,4.0,7.5,8.5,6.3,8,54.2
2008,Kolkata,balanced,157.2,144.9,6.6,5.5,6.3,7.9,5.6,6,54.3
2008,Hyderabad,balanced,161.5,149.4,6.8,4.9,7.0,8.1,5.7,7,49.2
2008,Delhi,batting,153.0,149.9,7.3,4.4,6.8,7.6,5.7,7,49.5
2008,Jaipur,balanced,156.5,146.1,6.3,5.8,6.5,7.8,4.3,11,57.4
2008,Mohali,batting,171.1,160.4,7.4,4.1,7.0,8.6,5.4,8,54.7
2008,Ahmedabad,batting,170.6,162.1,7.7,3.5,6.8,8.5,6.5,6,55.1
2008,Lucknow,balanced,160.0,148.2,6.4,5.2,6.2,8.0,5.8,5,53.5
2009,Mumbai,batting,171.3,167.6,8.1,4.0,6.8,8.6,7.2,7,52.3
2009,Chennai,spin,158.3,149.5,6.0,7.7,6.0,7.9,5.3,7,51.1
2009,Bangalore,batting,173.7,164.6,7.7,4.0,6.8,8.7,6.0,7,51.1
2009,Kolkata,balanced,157.5,148.0,6.6,5.1,6.2,7.9,6.0,5,51.5
2009,Hyderabad,balanced,153.7,146.3,6.8,5.1,6.4,7.7,5.6,6,50.1
2009,Delhi,batting,161.7,154.9,7.6,3.4,6.9,8.1,6.2,9,52.7
2009,Jaipur,balanced,163.2,156.2,7.0,5.2,6.6,8.2,5.1,7,48.0
2009,Mohali,batting,165.9,155.0,7.5,4.5,6.4,8.3,5.1,10,57.2
2009,Ahmedabad,batting,177.4,171.7,7.6,4.1,6.4,8.9,6.1,9,55.3
2009,Lucknow,balanced,160.6,154.1,7.1,5.9,6.1,8.0,4.8,7,53.6
2009,Pune,balanced,158.7,149.8,6.9,5.3,6.3,7.9,5.6,4,55.8
2009,Dubai,batting,164.7,155.8,7.6,3.4,7.2,8.2,7.1,4,50.0
2009,Abu Dhabi,balanced,157.7,153.0,6.4,5.3,5.7,7.9,8.6,3,57.0
2009,Sharjah,batting,170.4,162.4,7.4,3.6,6.7,8.5,7.6,5,53.9
2010,Mumbai,batting,167.3,157.6,7.9,3.7,6.8,8.4,8.0,10,51.6
2010,Chennai,spin,158.9,149.3,6.4,7.3,6.5,7.9,5.0,7,53.0
2010,Bangalore,batting,164.0,156.4,7.7,3.3,7.0,8.2,6.4,5,52.3
2010,Kolkata,balanced,161.5,149.4,6.6,5.6,6.5,8.1,5.7,7,56.9
2010,Hyderabad,balanced,164.8,155.7,6.6,5.6,6.5,8.2,6.2,6,54.1
2010,Delhi,batting,174.3,164.3,7.5,4.5,6.7,8.7,5.8,11,53.5
2010,Jaipur,balanced,164.1,157.0,6.6,6.0,5.9,8.2,5.5,9,50.1
2010,Mohali,batting,174.3,164.2,7.8,4.9,7.1,8.7,4.6,10,49.1
2010,Ahmedabad,batting,179.5,168.0,7.8,3.6,7.1,9.0,5.7,7,54.4
2010,Lucknow,balanced,157.7,153.8,6.4,5.7,6.5,7.9,5.2,8,48.4
2011,Mumbai,batting,161.8,150.0,7.8,4.6,6.5,8.1,7.7,5,51.6
2011,Chennai,spin,160.0,149.5,6.2,7.6,6.0,8.0,5.4,10,54.0
2011,Bangalore,batting,173.5,161.6,7.4,4.4,6.5,8.7,6.0,7,56.7
2011,Kolkata,balanced,165.9,156.7,7.0,5.7,6.3,8.3,6.1,7,49.1
2011,Hyderabad,balanced,160.9,154.6,6.5,5.5,6.5,8.0,5.4,5,50.9
2011,Delhi,batting,179.3,170.0,7.3,4.0,6.6,9.0,5.4,6,51.9
2011,Jaipur,balanced,156.5,153.3,6.9,5.0,5.8,7.8,5.7,6,49.8
2011,Mohali,batting,162.6,151.0,7.5,4.0,6.9,8.1,5.4,6,50.8
2011,Ahmedabad,batting,180.2,176.1,7.4,4.5,6.9,9.0,7.5,6,52.8
2011,Lucknow,balanced,160.4,155.1,6.3,5.4,6.2,8.0,6.4,11,52.2
2012,Mumbai,batting,162.2,158.4,7.6,4.2,6.1,8.1,7.2,10,54.4
2012,Chennai,spin,155.5,144.3,5.4,7.6,5.8,7.8,4.6,11,52.2
2012,Bangalore,batting,178.0,168.0,7.4,3.9,6.2,8.9,6.9,8,51.3
2012,Kolkata,balanced,160.2,155.7,7.1,6.3,5.5,8.0,6.0,5,51.0
2012,Hyderabad,balanced,165.3,156.8,6.1,5.6,5.8,8.3,5.3,10,56.2
2012,Delhi,batting,176.0,168.2,7.5,4.3,7.0,8.8,7.3,8,49.7
2012,Jaipur,balanced,158.5,154.7,6.8,6.6,6.2,7.9,5.1,5,49.4
2012,Mohali,batting,178.2,164.4,8.1,3.6,7.3,8.9,5.0,8,53.5
2012,Ahmedabad,batting,179.3,171.8,7.7,4.1,7.1,9.0,6.1,5,54.4
2012,Lucknow,balanced,151.9,146.1,6.8,4.3,6.7,7.6,5.6,9,53.2
2013,Mumbai,batting,168.8,162.6,8.1,4.1,6.8,8.4,7.5,5,51.4
2013,Chennai,spin,162.2,154.4,6.5,7.1,5.6,8.1,3.9,9,50.5
2013,Bangalore,batting,167.3,160.3,7.5,4.1,6.8,8.4,7.0,7,55.3
2013,Kolkata,balanced,170.1,165.7,7.4,6.1,6.4,8.5,6.3,7,57.0
2013,Hyderabad,balanced,160.2,154.4,6.7,5.1,6.4,8.0,5.5,6,51.7
2013,Delhi,batting,166.5,156.4,7.7,3.8,7.1,8.3,5.4,11,51.6
2013,Jaipur,balanced,156.3,145.3,7.2,5.3,6.6,7.8,5.4,6,51.6
2013,Mohali,batting,175.0,169.9,7.8,4.3,6.9,8.8,5.1,9,53.1
2013,Ahmedabad,batting,177.0,167.3,7.6,4.1,6.5,8.8,6.2,7,55.6
2013,Lucknow,balanced,161.4,152.0,7.3,5.2,6.9,8.1,4.5,6,54.1
2014,Mumbai,batting,164.8,158.6,7.9,3.8,6.6,8.2,7.5,6,56.7
2014,Chennai,spin,157.1,148.9,6.1,8.5,5.3,7.9,6.1,6,52.5
2014,Bangalore,batting,170.9,159.9,7.8,3.5,7.0,8.5,6.0,5,48.8
2014,Kolkata,balanced,160.5,157.2,6.7,6.2,5.8,8.0,5.6,10,56.4
2014,Hyderabad,balanced,162.4,158.9,6.7,4.1,6.6,8.1,5.5,5,49.5
2014,Delhi,batting,159.3,151.7,7.9,4.7,6.8,8.0,6.6,8,53.7
2014,Jaipur,balanced,169.3,158.6,7.1,5.7,6.1,8.5,5.8,9,51.5
2014,Mohali,batting,170.9,162.4,7.7,4.2,6.7,8.5,5.4,5,48.2
2014,Ahmedabad,batting,178.6,169.3,7.7,4.2,6.9,8.9,6.5,8,51.8
2014,Lucknow,balanced,157.2,153.8,6.8,6.3,6.2,7.9,5.2,5,56.4
2015,Mumbai,batting,155.4,151.2,7.3,4.6,6.4,7.8,7.3,5,55.9
2015,Chennai,spin,155.9,146.6,5.8,7.6,6.1,7.8,5.0,5,53.4
2015,Bangalore,batting,171.0,162.3,8.4,3.5,7.1,8.6,6.1,10,55.1
2015,Kolkata,balanced,169.9,162.8,7.4,5.8,6.5,8.5,6.5,10,56.5
2015,Hyderabad,balanced,158.7,153.0,6.9,5.5,6.1,7.9,5.8,10,51.0
2015,Delhi,batting,156.6,147.5,6.9,3.9,7.1,7.8,6.4,7,51.5
2015,Jaipur,balanced,157.6,152.7,7.1,5.4,6.8,7.9,5.4,7,54.1
2015,Mohali,batting,173.8,168.3,7.8,3.4,7.1,8.7,4.7,9,55.4
2015,Ahmedabad,batting,178.7,167.0,7.5,4.0,6.8,8.9,6.2,11,49.7
2015,Lucknow,balanced,161.0,156.3,6.9,4.9,6.5,8.0,5.4,7,52.5
2016,Mumbai,batting,160.7,154.6,8.0,3.4,6.9,8.0,7.0,8,57.1
2016,Chennai,spin,153.6,141.5,5.6,7.2,6.4,7.7,4.7,5,50.3
2016,Bangalore,batting,170.8,158.3,7.9,3.8,7.4,8.5,6.0,5,57.5
2016,Kolkata,balanced,165.5,159.6,6.6,4.9,6.4,8.3,6.0,10,52.3
2016,Hyderabad,balanced,166.3,153.1,6.9,6.0,6.3,8.3,5.5,9,48.1
2016,Delhi,batting,166.7,159.6,7.8,3.9,6.9,8.3,6.4,11,57.9
2016,Jaipur,balanced,159.7,150.8,7.7,6.5,6.2,8.0,5.3,6,50.9
2016,Mohali,batting,171.9,158.8,7.8,3.9,6.8,8.6,5.3,7,52.1
2016,Ahmedabad,batting,173.7,159.9,8.2,3.7,6.9,8.7,6.3,7,52.2
2016,Lucknow,balanced,162.5,154.2,7.2,5.3,6.1,8.1,5.8,8,51.2
2017,Mumbai,batting,176.5,169.8,7.8,3.8,7.2,8.8,7.6,5,53.7
2017,Chennai,spin,159.8,153.0,6.1,8.1,5.6,8.0,5.5,8,51.8
2017,Bangalore,batting,177.8,169.8,7.7,3.5,6.4,8.9,5.9,11,51.0
2017,Kolkata,balanced,162.4,153.6,7.3,5.1,6.7,8.1,6.0,11,57.4
2017,Hyderabad,balanced,168.8,156.9,7.2,6.3,5.9,8.4,5.4,9,49.3
2017,Delhi,batting,163.3,155.4,7.6,4.7,6.9,8.2,6.4,8,57.6
2017,Jaipur,balanced,164.3,156.8,7.3,6.3,5.6,8.2,4.2,5,56.1
2017,Mohali,batting,167.7,162.4,7.8,4.4,7.0,8.4,6.5,5,55.6
2017,Ahmedabad,batting,181.2,172.6,7.7,3.2,6.8,9.1,6.7,6,57.5
2017,Lucknow,balanced,164.6,151.8,6.9,5.3,6.5,8.2,5.1,7,53.4
2018,Mumbai,batting,170.4,164.9,7.4,4.0,6.4,8.5,6.9,11,49.4
2018,Chennai,spin,157.3,146.3,5.8,7.7,5.6,7.9,4.6,5,56.7
2018,Bangalore,batting,174.6,168.6,7.7,4.5,7.1,8.7,7.0,6,53.9
2018,Kolkata,balanced,167.7,159.9,7.0,5.7,6.2,8.4,6.3,6,51.4
2018,Hyderabad,balanced,161.9,158.5,7.2,5.9,5.9,8.1,5.8,8,50.5
2018,Delhi,batting,170.1,159.6,8.0,4.0,6.7,8.5,5.8,6,57.6
2018,Jaipur,balanced,166.1,161.2,7.1,6.4,6.0,8.3,5.0,8,50.6
2018,Mohali,batting,181.7,167.6,8.3,3.4,7.3,9.1,5.5,9,53.5
2018,Ahmedabad,batting,182.4,178.7,7.6,4.4,6.7,9.1,6.7,8,57.3
2018,Lucknow,balanced,162.7,157.7,7.1,5.5,6.1,8.1,5.7,9,56.9
2019,Mumbai,batting,160.7,156.4,7.3,3.8,6.8,8.0,8.3,10,55.9
2019,Chennai,spin,160.1,156.7,6.6,7.4,5.6,8.0,5.8,7,56.7
2019,Bangalore,batting,167.0,156.9,8.2,4.3,6.6,8.3,7.5,10,49.5
2019,Kolkata,balanced,162.3,152.7,7.3,5.6,6.2,8.1,6.7,9,57.7
2019,Hyderabad,balanced,157.5,150.0,7.1,6.0,5.6,7.9,5.6,11,53.4
2019,Delhi,batting,163.1,157.4,7.8,3.2,7.5,8.2,5.9,11,57.2
2019,Jaipur,balanced,167.0,157.3,7.2,6.0,6.6,8.3,5.3,6,54.1
2019,Mohali,batting,168.1,162.6,7.9,4.8,6.3,8.4,5.9,11,51.7
2019,Ahmedabad,batting,182.6,177.8,7.9,4.0,6.9,9.1,5.9,8,56.3
2019,Lucknow,balanced,159.4,151.8,7.8,5.6,6.0,8.0,6.1,10,54.6
2020,Mumbai,batting,172.8,162.3,7.9,3.6,6.8,8.6,8.4,5,56.8
2020,Chennai,spin,156.2,150.7,6.0,8.6,5.7,7.8,5.7,11,57.8
2020,Bangalore,batting,168.5,164.4,7.9,4.7,6.3,8.4,6.1,10,48.8
2020,Kolkata,balanced,158.2,155.0,7.0,5.4,6.5,7.9,7.3,9,55.6
2020,Hyderabad,balanced,167.8,160.2,6.7,5.3,6.2,8.4,6.3,9,49.4
2020,Delhi,batting,169.0,162.2,7.8,3.7,6.6,8.5,5.7,9,53.7
2020,Jaipur,balanced,165.6,154.2,7.6,5.4,6.7,8.3,5.1,5,49.7
2020,Mohali,batting,170.2,160.5,7.9,3.6,6.8,8.5,5.1,7,52.9
2020,Ahmedabad,batting,184.7,172.0,8.1,3.9,7.1,9.2,7.3,11,54.9
2020,Lucknow,balanced,166.3,153.1,7.0,5.6,6.2,8.3,5.9,7,53.9
2020,Pune,balanced,168.9,162.0,7.1,5.6,6.2,8.4,6.1,4,50.0
2020,Dubai,batting,160.8,154.9,8.0,4.2,6.6,8.0,8.4,4,49.0
2020,Abu Dhabi,balanced,157.2,148.5,6.8,5.3,6.7,7.9,7.3,2,52.7
2020,Sharjah,batting,174.2,161.6,7.9,3.4,6.9,8.7,8.3,3,54.3
2021,Mumbai,batting,174.2,163.9,8.2,3.8,7.0,8.7,7.5,10,48.9
2021,Chennai,spin,155.1,148.1,6.6,7.6,5.4,7.8,5.1,11,53.1
2021,Bangalore,batting,179.9,169.4,8.5,4.3,7.1,9.0,6.4,6,53.0
2021,Kolkata,balanced,163.7,153.4,7.0,6.6,6.3,8.2,5.8,9,49.1
2021,Hyderabad,balanced,168.2,162.4,7.0,6.5,5.7,8.4,6.0,7,54.9
2021,Delhi,batting,164.7,154.0,7.6,4.6,6.9,8.2,5.2,8,48.9
2021,Jaipur,balanced,168.7,162.8,6.7,6.1,5.5,8.4,4.9,9,54.1
2021,Mohali,batting,172.9,167.0,8.3,4.1,7.1,8.6,5.5,10,51.0
2021,Ahmedabad,batting,183.9,169.8,8.2,3.4,6.8,9.2,6.3,7,54.3
2021,Lucknow,balanced,156.2,145.2,7.1,5.1,6.0,7.8,6.2,5,54.1
2022,Mumbai,batting,175.4,162.8,8.2,5.2,6.8,8.8,6.5,8,56.3
2022,Chennai,spin,157.8,151.4,6.8,8.3,5.5,7.9,5.3,9,48.1
2022,Bangalore,batting,179.4,168.4,7.7,4.2,6.2,9.0,6.5,8,48.4
2022,Kolkata,balanced,167.9,161.4,6.9,5.2,5.9,8.4,6.5,8,53.7
2022,Hyderabad,balanced,162.8,154.6,7.2,6.3,5.6,8.1,5.5,10,49.7
2022,Delhi,batting,168.8,162.4,8.1,3.9,7.1,8.4,6.1,8,50.2
2022,Jaipur,balanced,170.7,158.4,6.6,5.0,6.1,8.5,5.7,8,56.4
2022,Mohali,batting,166.2,154.7,8.2,3.8,7.0,8.3,5.6,8,49.4
2022,Ahmedabad,batting,178.0,165.4,7.3,4.1,6.4,8.9,7.5,10,55.5
2022,Lucknow,balanced,167.5,157.4,7.2,5.8,6.5,8.4,5.7,8,54.2
2023,Mumbai,batting,170.0,157.5,7.6,4.4,7.1,8.5,6.8,6,57.3
2023,Chennai,spin,156.5,151.2,6.8,8.5,5.9,7.8,4.3,8,53.8
2023,Bangalore,batting,178.3,166.0,8.1,3.2,7.7,8.9,7.0,10,54.8
2023,Kolkata,balanced,162.1,154.2,6.9,5.4,6.3,8.1,5.7,8,49.3
2023,Hyderabad,balanced,164.6,155.4,6.9,6.4,5.8,8.2,6.1,11,57.8
2023,Delhi,batting,171.7,160.4,8.1,3.8,7.3,8.6,6.0,6,57.1
2023,Jaipur,balanced,163.2,152.5,7.5,5.4,6.8,8.2,4.7,11,52.6
2023,Mohali,batting,173.6,168.2,8.3,4.4,7.0,8.7,5.8,5,53.2
2023,Ahmedabad,batting,180.2,169.3,8.0,4.1,6.3,9.0,6.5,8,56.2
2023,Lucknow,balanced,172.4,161.0,7.3,5.6,6.9,8.6,5.7,8,54.8
2024,Mumbai,batting,160.1,150.8,7.5,3.0,7.8,8.0,8.4,8,55.8
2024,Chennai,spin,162.8,153.4,6.0,8.0,5.8,8.1,5.4,6,53.1
2024,Bangalore,batting,174.9,162.6,7.7,4.5,6.5,8.7,7.0,5,54.3
2024,Kolkata,balanced,169.8,164.8,7.4,6.4,6.4,8.5,5.3,8,55.6
2024,Hyderabad,balanced,165.7,154.3,6.9,6.4,6.3,8.3,5.3,9,55.9
2024,Delhi,batting,166.1,153.4,8.0,4.3,6.4,8.3,5.4,11,53.8
2024,Jaipur,balanced,161.9,149.1,7.6,4.2,6.7,8.1,5.7,7,57.2
2024,Mohali,batting,166.4,157.1,8.1,3.6,7.1,8.3,6.2,8,57.1
2024,Ahmedabad,batting,175.7,166.3,7.8,5.1,6.9,8.8,6.8,7,56.4
2024,Lucknow,balanced,165.3,155.7,7.0,6.0,6.0,8.3,4.6,6,51.1
2025,Mumbai,batting,176.8,168.1,8.2,5.3,6.5,8.8,8.2,8,52.9
2025,Chennai,spin,157.1,145.9,6.3,7.1,5.6,7.9,5.6,10,55.1
2025,Bangalore,batting,173.7,160.0,8.1,5.3,6.1,8.7,5.9,11,49.9
2025,Kolkata,balanced,164.4,156.5,7.1,6.1,6.2,8.2,5.5,6,58.0
2025,Hyderabad,balanced,168.3,164.6,7.1,5.8,5.8,8.4,5.6,9,55.4
2025,Delhi,batting,171.3,160.5,8.2,4.2,7.0,8.6,5.6,7,55.1
2025,Jaipur,balanced,166.3,161.6,7.8,4.6,6.4,8.3,4.4,6,55.5
2025,Mohali,batting,171.4,166.4,8.5,4.0,6.2,8.6,5.7,7,51.4
2025,Ahmedabad,batting,189.0,174.1,7.9,4.4,7.2,9.5,6.6,11,52.4
2025,Lucknow,balanced,165.1,157.6,7.4,6.2,6.0,8.3,5.7,5,48.9
2026,Mumbai,batting,173.1,164.4,7.5,4.6,6.7,8.7,7.4,10,57.2
2026,Chennai,spin,163.9,154.0,6.3,6.7,6.2,8.2,4.7,8,53.5
2026,Bangalore,batting,174.4,162.7,7.9,3.9,7.0,8.7,6.8,10,53.9
2026,Kolkata,balanced,159.6,155.9,6.9,5.4,6.6,8.0,5.6,5,55.0
2026,Hyderabad,balanced,165.2,157.7,7.5,6.1,6.4,8.3,6.1,7,55.8
2026,Delhi,batting,165.8,157.2,8.2,4.5,6.8,8.3,6.2,7,49.4
2026,Jaipur,balanced,173.9,170.1,6.8,6.2,6.4,8.7,5.1,5,48.8
2026,Mohali,batting,171.2,160.4,7.8,3.9,6.7,8.6,5.6,6,52.2
2026,Ahmedabad,batting,186.7,174.6,7.8,4.5,6.7,9.3,6.5,5,52.2
2026,Lucknow,balanced,162.9,158.9,7.1,5.5,5.4,8.1,5.7,8,54.8
